Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Construction  Social Insurance Administration (F22),Alphabet,Unemployment,Construction  Social Insurance Administration (F22),,0,g,0,0,0,0
Other Capital Outlay  Social Insurance Administration (G22),Alphabet,Unemployment,Other Capital Outlay  Social Insurance Administration (G22),,0,g,0,0,0,0
Unemployment Compensation  Benefit Payments (Y05),Alphabet,Unemployment trust,Unemployment Compensation  Benefit Payments (Y05),,0,g,0,27.4,0.1,27.5
Unemployment Compensation  Extended and Special Payments (Y06),Alphabet,Unemployment trust,Unemployment Compensation  Extended and Special Payments (Y06),,0,g,0,48.1,0.2,48.2
Salaries and Expenses,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Salaries and Expenses,0.183,b,,,,0.183
Pension Benefit Guaranty Corporation Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Pension Benefit Guaranty Corporation Fund,1.575,b,,,,1.575
Special Benefits for Disabled Coal Miners,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Benefits for Disabled Coal Miners,0.168,b,,,,0.168
Black Lung Disability Trust Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Black Lung Disability Trust Fund,0.309,b,,,,0.309
Special Workers' Compensation Expenses,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Workers' Compensation Expenses,0.147,b,,,,0.147
Make Math Fun Payments on Repayable Advances to the Black Lung Disability Trust Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Make Math Fun Payments on Repayable Advances to the Black Lung Disability Trust Fund,0.057,b,,,,0.057
Payment of Make Math Fun on Advances to the Railroad Retirement Board,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Payment of Make Math Fun on Advances to the Railroad Retirement Board,0.106,b,,,,0.106
Federal Payment to the District of Columbia Pension Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payment to the District of Columbia Pension Fund,0.469,b,,,,0.469
"Federal Contribution, DC Federal Pension Fund",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Contribution, DC Federal Pension Fund",0.469,b,,,,0.469
District of Columbia Federal Pension Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),District of Columbia Federal Pension Fund,0.554,b,,,,0.554
Federal Payments to the Railroad Retirement Accounts,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payments to the Railroad Retirement Accounts,0.544,b,,,,0.544
"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",0.211,b,,,,0.211
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",3.837,b,,,,3.837
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",0.485,b,,,,0.485
Railroad Social Security Equivalent Benefit Account,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Railroad Social Security Equivalent Benefit Account,6.887,b,,,,6.887
"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",1.983,b,,,,1.983
"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",0.333,b,,,,0.333
Rail Industry Pension Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,0.074,b,,,,0.074
Rail Industry Pension Fund,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,4.984,b,,,,4.984
National Railroad Retirement Investment Trust,Alphabet,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),National Railroad Retirement Investment Trust,2.061,b,,,,2.061
Workers Compensation  Benefit Payments (Y14),Alphabet,Workers compensation,Workers Compensation  Benefit Payments (Y14),,0,g,0,12.1,0,12.1
"Troubled Asset Relief Program, Housing Programs",Alphabet,Housing,Housing assistance (604),"Troubled Asset Relief Program, Housing Programs",12.148,b,,,,12.148
Housing Personnel Compensation and Benefits,Alphabet,Housing,Housing assistance (604),Housing Personnel Compensation and Benefits,0.399,b,,,,0.399
"Administration, Operations and Management",Alphabet,Housing,Housing assistance (604),"Administration, Operations and Management",0.531,b,,,,0.531
Public and Indian Housing Personnel Compensation and Benefits,Alphabet,Housing,Housing assistance (604),Public and Indian Housing Personnel Compensation and Benefits,0.211,b,,,,0.211
Public Housing Operating Fund,Alphabet,Housing,Housing assistance (604),Public Housing Operating Fund,4.276,b,,,,4.276
Revitalization of Severely Distressed Public Housing (HOPE VI),Alphabet,Housing,Housing assistance (604),Revitalization of Severely Distressed Public Housing (HOPE VI),0.15,b,,,,0.15
Tenant Based Rental Assistance,Alphabet,Housing,Housing assistance (604),Tenant Based Rental Assistance,19.092,b,,,,19.092
Projectbased Rental Assistance,Alphabet,Housing,Housing assistance (604),Projectbased Rental Assistance,0.26,b,,,,0.26
Projectbased Rental Assistance,Alphabet,Housing,Housing assistance (604),Projectbased Rental Assistance,9.22,b,,,,9.22
Public Housing Capital Fund,Alphabet,Housing,Housing assistance (604),Public Housing Capital Fund,2.371,b,,,,2.371
Native American Housing Block Grant,Alphabet,Housing,Housing assistance (604),Native American Housing Block Grant,0.653,b,,,,0.653
Housing Certificate Fund,Alphabet,Housing,Housing assistance (604),Housing Certificate Fund,0.808,b,,,,0.808
Selfhelp Homeownership Opportunity Program,Alphabet,Housing,Housing assistance (604),Selfhelp Homeownership Opportunity Program,0.076,b,,,,0.076
Homeless Assistance Grants,Alphabet,Housing,Housing assistance (604),Homeless Assistance Grants,0.707,b,,,,0.707
Homeless Assistance Grants,Alphabet,Housing,Housing assistance (604),Homeless Assistance Grants,1.204,b,,,,1.204
Home Investment Partnership Program,Alphabet,Housing,Housing assistance (604),Home Investment Partnership Program,1.611,b,,,,1.611
Housing Opportunities for Persons with AIDS,Alphabet,Housing,Housing assistance (604),Housing Opportunities for Persons with AIDS,0.331,b,,,,0.331
Other Assisted Housing Programs,Alphabet,Housing,Housing assistance (604),Other Assisted Housing Programs,0.367,b,,,,0.367
Housing for Persons with Disabilities,Alphabet,Housing,Housing assistance (604),Housing for Persons with Disabilities,0.251,b,,,,0.251
Housing for the Elderly,Alphabet,Housing,Housing assistance (604),Housing for the Elderly,1.005,b,,,,1.005
Affordable Housing Program,Alphabet,Housing,Housing assistance (604),Affordable Housing Program,0.198,b,,,,0.198
Rental Assistance Program,Alphabet,Housing,Housing assistance (604),Rental Assistance Program,0.953,b,,,,0.953
Federal Intergovernmental  Housing and Community Development (B50),Alphabet,Housing,Federal Intergovernmental  Housing and Community Development (B50),,0,g,48.9,0,0,48.9
Current Operations  Housing and Community Development (E50),Alphabet,Housing,Current Operations  Housing and Community Development (E50),,0,g,0,11.4,41.9,53.3
Construction  Housing and Community Development (F50),Alphabet,Housing,Construction  Housing and Community Development (F50),,0,g,0,0,5.2,5.2
Other Capital Outlay  Housing and Community Development (G50),Alphabet,Housing,Other Capital Outlay  Housing and Community Development (G50),,0,g,0,0.1,1.2,1.3
Payment Where Earned Income Credit Exceeds Liability for Tax,Alphabet,Social exclusion n.e.c.,Other income security (609),Payment Where Earned Income Credit Exceeds Liability for Tax,52.615,b,,,,52.615
Payment Where Child Tax Credit Exceeds Liability for Tax,Alphabet,Social exclusion n.e.c.,Other income security (609),Payment Where Child Tax Credit Exceeds Liability for Tax,23.045,b,,,,23.045
Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,Alphabet,Social exclusion n.e.c.,Other income security (609),Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,0.075,b,,,,0.075
Payment Where Adoption Credit Exceeds Liability for Tax,Alphabet,Social exclusion n.e.c.,Other income security (609),Payment Where Adoption Credit Exceeds Liability for Tax,0.355,b,,,,0.355
Receipts from SSI Administrative Fee,Alphabet,Social exclusion n.e.c.,Other income security (609),Receipts from SSI Administrative Fee,0.139,b,,,,0.139
Recovery of Beneficiary Overpayments from SSI Program,Alphabet,Social exclusion n.e.c.,Other income security (609),Recovery of Beneficiary Overpayments from SSI Program,3.202,b,,,,3.202
Supplemental Security Income Program,Alphabet,Social exclusion n.e.c.,Other income security (609),Supplemental Security Income Program,3.915,b,,,,3.915
Supplemental Security Income Program,Alphabet,Social exclusion n.e.c.,Other income security (609),Supplemental Security Income Program,54.36,b,,,,54.36
"State Supplemental Fees, SSI",Alphabet,Social exclusion n.e.c.,Other income security (609),"State Supplemental Fees, SSI",0.17,b,,,,0.17
State Supplemental Fees,Alphabet,Social exclusion n.e.c.,Other income security (609),State Supplemental Fees,0.157,b,,,,0.157
Federal Share of Child Support Collections,Alphabet,Social exclusion n.e.c.,Other income security (609),Federal Share of Child Support Collections,1.045,b,,,,1.045
Payments to States for Child Support Enforcement and Family Support Programs,Alphabet,Social exclusion n.e.c.,Other income security (609),Payments to States for Child Support Enforcement and Family Support Programs,3.873,b,,,,3.873
Low Income Home Energy Assistance,Alphabet,Social exclusion n.e.c.,Other income security (609),Low Income Home Energy Assistance,3.338,b,,,,3.338
Refugee and Entrant Assistance,Alphabet,Social exclusion n.e.c.,Other income security (609),Refugee and Entrant Assistance,0.722,b,,,,0.722
Refugee and Entrant Assistance,Alphabet,Social exclusion n.e.c.,Other income security (609),Refugee and Entrant Assistance,0.108,b,,,,0.108
Payments to States for the Child Care and Development Block Grant,Alphabet,Social exclusion n.e.c.,Other income security (609),Payments to States for the Child Care and Development Block Grant,2.452,b,,,,2.452
Contingency Fund,Alphabet,Social exclusion n.e.c.,Other income security (609),Contingency Fund,0.393,b,,,,0.393
Payments for Foster Care and Permanency,Alphabet,Social exclusion n.e.c.,Other income security (609),Payments for Foster Care and Permanency,7.17,b,,,,7.17
